gob_offset,flag,uncomp_size,crc32,name,path,method
0x1232000,122,65536,0xe9c39926,,gfc_extracted\block_01044\block_01044.bin,content
0x1238800,122,65536,0xd45653b8,,gfc_extracted\block_01045\block_01045.bin,content
0x1242800,122,65536,0x252830ec,,gfc_extracted\block_01046\block_01046.csv,content
0x124a000,122,65536,0x2110abab,,gfc_extracted\block_01047\block_01047.bin,content
0x1250800,122,65536,0x5ef68896,,gfc_extracted\block_01048\block_01048.bin,content
0x1257800,122,65536,0x8f4b0008,,gfc_extracted\block_01049\block_01049.bin,content
0x125e800,122,65536,0xc10c435e,,gfc_extracted\block_01050\block_01050.bin,content
0x1266000,122,65536,0x375fb2aa,,gfc_extracted\block_01051\block_01051.bin,content
0x126f000,122,65536,0xd976ab6b,,gfc_extracted\block_01052\block_01052.bin,content
0x1279800,122,65536,0x5ff68a40,,gfc_extracted\block_01053\block_01053.bin,content
0x127f000,122,65536,0x25d1f67b,,gfc_extracted\block_01054\block_01054.bin,content
0x1285800,122,65536,0xe4f85a11,,gfc_extracted\block_01055\block_01055.bin,content
0x128b000,122,65536,0x9f709d0f,,gfc_extracted\block_01056\block_01056.bin,content
0x128f800,122,65536,0x95ab1e1c,,gfc_extracted\block_01057\block_01057.bin,content
0x1296800,122,65536,0x63a002fb,,gfc_extracted\block_01058\block_01058.bin,content
0x129d800,122,65536,0x585a84d6,,gfc_extracted\block_01059\block_01059.bin,content
0x12a3000,122,65536,0x454f7add,,gfc_extracted\block_01060\block_01060.bin,content
0x12a9000,122,65536,0xc1cfbcfe,,gfc_extracted\block_01061\block_01061.bin,content
0x12b1800,122,16142,0xc9850e5e,,gfc_extracted\block_01062\block_01062.bin,content
0x12b3000,122,31118,0xf320b1b7,.\common\gfx\tracks\barin2_levelinfo_ranking.csv,gfc_extracted\./common/gfx/tracks/barin2_levelinfo_ranking.csv,crc
0x12b7800,48,2043,0x51369fde,,gfc_extracted\block_01064\block_01064.png,content
0x12b8000,122,2128,0xb46920aa,.\common\animations\barin3_anims.csv,gfc_extracted\./common/animations/barin3_anims.csv,crc
0x12b8800,122,20156,0xd9df3847,.\common\gfx\extanim\barin3-anim-cam.igb,gfc_extracted\./common/gfx/extanim/barin3-anim-cam.igb,crc
0x12bb000,122,65536,0x880484f5,,gfc_extracted\block_01067\block_01067.bin,content
0x12c0800,122,65536,0x10aea625,,gfc_extracted\block_01068\block_01068.bin,content
0x12c8000,122,60990,0x27687bd5,,gfc_extracted\block_01069\block_01069.bin,content
0x12d2000,122,65536,0x6ae7c3ce,,gfc_extracted\block_01070\block_01070.bin,content
0x12d5800,122,65536,0xe05bad5c,,gfc_extracted\block_01071\block_01071.bin,content
0x12dc800,122,65536,0x2952a0c3,,gfc_extracted\block_01072\block_01072.bin,content
0x12e1800,122,4448,0x1b2745e4,,gfc_extracted\block_01073\block_01073.bin,content
0x12e2000,122,8964,0xf0e93d58,.\ps2\gfx\extanim\worker_dummy01.igb,gfc_extracted\./ps2/gfx/extanim/worker_dummy01.igb,crc
0x12e3000,122,8964,0xac3a7b32,.\ps2\gfx\extanim\worker_dummy02.igb,gfc_extracted\./ps2/gfx/extanim/worker_dummy02.igb,crc
0x12e4000,122,9636,0x85e5f18f,.\ps2\gfx\extanim\yellowcable.igb,gfc_extracted\./ps2/gfx/extanim/yellowcable.igb,crc
0x12e5000,122,6212,0x30fa4abb,.\common\hud\maps\barin2.png,gfc_extracted\./common/hud/maps/barin2.png,crc
0x12e6000,122,11856,0xcfe66028,.\ps2\audio\ballroll.vag,gfc_extracted\./ps2/audio/ballroll.vag,crc
0x12e8800,122,13232,0x92faa9b8,.\ps2\audio\bandmot1.vag,gfc_extracted\./ps2/audio/bandmot1.vag,crc
0x12eb800,122,4912,0x5b9b9b63,.\ps2\audio\cranserv.vag,gfc_extracted\./ps2/audio/cranserv.vag,crc
0x12ed000,122,9984,0xd244a9cf,.\ps2\audio\crash1fx.vag,gfc_extracted\./ps2/audio/crash1fx.vag,crc
0x12ef800,122,4720,0x5f58b8e6,.\ps2\audio\cranclk1.vag,gfc_extracted\./ps2/audio/cranclk1.vag,crc
0x12f0800,122,5984,0xf335fe30,.\ps2\audio\crane1.vag,gfc_extracted\./ps2/audio/crane1.vag,crc
0x12f2000,122,5712,0xe26353eb,.\ps2\audio\robo2.vag,gfc_extracted\./ps2/audio/robo2.vag,crc
0x12f3800,122,13616,0x9487e5a,.\ps2\audio\robo3.vag,gfc_extracted\./ps2/audio/robo3.vag,crc
0x12f6800,122,3024,0x38407316,.\ps2\audio\robo4.vag,gfc_extracted\./ps2/audio/robo4.vag,crc
0x12f7800,122,7152,0xf344f30f,.\ps2\audio\robo5.vag,gfc_extracted\./ps2/audio/robo5.vag,crc
0x12f9000,122,2208,0xa5baf2f9,.\ps2\audio\rocksmsh.vag,gfc_extracted\./ps2/audio/rocksmsh.vag,crc
0x12f9800,122,21168,0x1992b292,.\ps2\audio\watrpump.vag,gfc_extracted\./ps2/audio/watrpump.vag,crc
0x12fe000,122,16480,0x34533a45,.\ps2\audio\windgst2.vag,gfc_extracted\./ps2/audio/windgst2.vag,crc
0x1301800,122,65536,0x8573611b,,gfc_extracted\block_01091\block_01091.bin,content
0x130f000,122,2944,0x10f76f8a,,gfc_extracted\block_01092\block_01092.bin,content
0x1310000,48,67579,0xaaf93979,,gfc_extracted\block_01093\block_01093.png,content
0x1320800,48,67579,0x24c47cdb,,gfc_extracted\block_01094\block_01094.bin,content
0x1331000,48,67579,0x33d956fb,,gfc_extracted\block_01095\block_01095.bin,content
0x1341800,48,67579,0xbd43c617,,gfc_extracted\block_01096\block_01096.bin,content
0x1352000,48,67579,0x7cf77b7,,gfc_extracted\block_01097\block_01097.bin,content
0x1362800,48,28667,0x5029ca42,,gfc_extracted\block_01098\block_01098.bin,content
0x1369800,48,67579,0x8f0f513f,,gfc_extracted\block_01099\block_01099.png,content
0x137a000,48,67579,0x956d57ad,,gfc_extracted\block_01100\block_01100.bin,content
0x138a800,48,67579,0xd4f28508,,gfc_extracted\block_01101\block_01101.bin,content
0x139b000,48,67579,0x9c0dfdce,,gfc_extracted\block_01102\block_01102.bin,content
0x13ab800,48,67579,0x56d3e278,,gfc_extracted\block_01103\block_01103.bin,content
0x13bc000,48,6139,0x2f1f2629,,gfc_extracted\block_01104\block_01104.bin,content
0x13bd800,122,758,0x1a0af905,.\common\animations\barin3_anim_sounds.csv,gfc_extracted\./common/animations/barin3_anim_sounds.csv,crc
0x13be000,122,207,0x1834d6a1,.\common\audio\barin3_3devents.csv,gfc_extracted\./common/audio/barin3_3devents.csv,crc
0x13be800,122,1087,0xc067fbfb,.\common\audio\barin3_envpointsounds.csv,gfc_extracted\./common/audio/barin3_envpointsounds.csv,crc
