address,raw_name,symbol,module,body_bytes,callees_real,callees_stub,callers,globals,cop2,loops,branches,float_ops,leaf_hint,leaf_detail,score
0x0019e920,FUN_0019e920,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0019ea30,FUN_0019ea30,tuning_scale_b,game/tuning,532,0,0,0,0,0,0,3,8,,,18.64
0x0019f020,FUN_0019f020,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0019f130,FUN_0019f130,tuning_scale_c,game/tuning,391,0,0,0,0,0,0,2,7,,,14.82
0x0019f6c0,FUN_0019f6c0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0019f7f0,FUN_0019f7f0,tuning_scale_d,game/tuning,534,0,0,0,0,0,0,3,8,,,18.68
0x0019fdd0,FUN_0019fdd0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001a1800,FUN_001a1800,kart_state_check,game/kart,456,0,0,0,0,0,0,2,2,,,11.12
0x001a1bd0,FUN_001a1bd0,sort_assign_rank,game/ranking,1726,0,0,0,0,0,5,9,2,,,44.02
0x001a82f0,FUN_001a82f0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001a8660,FUN_001a8660,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001a8d10,FUN_001a8d10,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001a94a0,FUN_001a94a0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001ab5b0,FUN_001ab5b0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001ab6b0,FUN_001ab6b0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001ab880,FUN_001ab880,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001acde0,FUN_001acde0,,core/struct,274,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",5.48
0x001b6340,FUN_001b6340,quat_invert,math/quat,598,0,0,0,0,3,0,3,0,,,20.96
0x001b82f0,FUN_001b82f0,,core/struct,274,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",5.48
0x001c3470,FUN_001c3470,,core/struct,274,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",5.48
0x001c3910,FUN_001c3910,object_init,core/struct,562,0,0,0,2,0,0,0,0,,,16.24
0x001ca130,FUN_001ca130,,core/struct,308,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",6.16
0x001ca430,FUN_001ca430,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001cad90,FUN_001cad90,,core/struct,274,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",5.48
0x001cb220,FUN_001cb220,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
