address,hub,direction,distance,peer
0x0010ff50,0x00511940,upstream,1,0
0x00110100,0x00511940,upstream,1,0
0x00110260,0x0042f3a0,upstream,2,0
0x00110340,0x0033c1b0,upstream,1,0
0x00110460,0x0033c3b0,upstream,1,0
0x001104d0,0x0026d230,upstream,1,0
0x00110780,0x0026d230,upstream,1,0
0x001108d0,0x0042f3a0,upstream,2,0
0x001109d0,0x0042f3a0,upstream,2,0
0x00110ae0,0x0042f3a0,upstream,2,0
0x00110bb0,0x0042f3a0,upstream,2,0
0x00110c80,,-,1000000000,0
0x00110da0,0x0023c590,upstream,2,0
0x00110e80,0x00511940,upstream,1,0
0x00111030,0x00511940,upstream,1,0
0x001110b0,0x00511940,upstream,2,0
0x00111100,,-,1000000000,0
0x00111150,,-,1000000000,0
0x00111180,0x00238120,upstream,1,0
0x001111f0,0x00238120,upstream,1,0
0x00111260,0x00428df8,upstream,1,0
0x00111390,,-,1000000000,0
0x00111480,0x00238120,upstream,1,0
0x001115c0,,-,1000000000,0
0x00111600,0x00429068,upstream,1,0
0x00111670,0x00429068,upstream,1,0
0x00111890,,-,1000000000,0
0x00111990,,-,1000000000,0
0x001119a0,0x004ba240,upstream,1,0
0x001119f0,,-,1000000000,0
0x00111ab0,,-,1000000000,0
0x00111ad0,0x0050f930,upstream,5,0
0x00111bb0,0x004ba240,upstream,1,0
0x00111c20,0x004ba240,upstream,1,0
0x00111c80,0x004ba240,upstream,1,0
0x00111cf0,0x004ba240,upstream,1,0
0x00111d50,0x004ba240,upstream,1,0
0x00111da0,0x004ba240,upstream,1,0
0x00111e10,0x004ba240,upstream,1,0
0x00111e70,,-,1000000000,0
0x00111f20,0x004ba240,upstream,1,0
0x00112040,,-,1000000000,0
0x00112050,,-,1000000000,0
0x00112160,,-,1000000000,0
0x001121d0,,-,1000000000,0
0x00112240,,-,1000000000,0
0x00112440,,-,1000000000,0
0x00112450,,-,1000000000,0
0x00112460,,-,1000000000,0
0x00112470,,-,1000000000,0
0x00112490,0x00428df8,upstream,2,0
0x001124f0,0x00429068,upstream,2,1
0x00112550,0x00429068,upstream,2,0
0x001125b0,0x00238120,upstream,2,0
0x001125f0,0x004ba240,upstream,2,0
0x00112660,0x0050f930,upstream,5,0
0x001127e0,0x004ba240,upstream,1,0
0x00112850,0x004ba240,upstream,1,0
0x001128c0,0x004ba240,upstream,1,0
0x00112930,0x004ba240,upstream,1,0
0x00112990,0x004ba240,upstream,1,0
0x001129f0,,-,1000000000,0
0x00112a00,,-,1000000000,0
0x00112a90,,-,1000000000,0
0x00112ab0,0x004ba240,upstream,1,0
0x00112ce0,,-,1000000000,0
0x00112cf0,,-,1000000000,0
0x00112d60,,-,1000000000,0
0x00112e00,0x004ba240,upstream,1,0
0x00112e60,0x004ba240,upstream,1,0
0x00112f40,,-,1000000000,0
0x00112fb0,,-,1000000000,0
0x00113030,,-,1000000000,0
0x00113660,0x004ba240,upstream,1,0
0x00113770,,-,1000000000,0
0x001137f0,0x00512ee0,upstream,2,0
0x00113b30,,-,1000000000,0
0x00113b80,0x00511940,upstream,3,0
0x00114290,0x004287e0,upstream,1,0
0x001144a0,0x004ba240,upstream,2,0
0x00114540,0x00428998,upstream,6,0
0x00114670,0x004ba240,upstream,1,0
0x00114760,,-,1000000000,0
0x001147a0,,-,1000000000,0
0x00114820,0x0023c590,upstream,2,0
0x001148b0,0x00428998,upstream,3,0
0x001148e0,0x00428998,upstream,6,0
0x00114950,0x0023c590,upstream,2,0
0x001149d0,0x0023c590,upstream,1,0
0x00114b10,0x004ba240,upstream,1,0
0x00114b60,,-,1000000000,0
0x00114b70,0x00428998,upstream,4,0
0x00114ba0,0x00428998,upstream,5,0
0x00114be0,0x00428998,upstream,5,0
0x00114c30,,-,1000000000,0
0x00114c40,,-,1000000000,0
0x00114c50,,-,1000000000,0
0x00114c60,,-,1000000000,0
0x00114c70,,-,1000000000,0
0x00114c80,,-,1000000000,0
0x00114cf0,,-,1000000000,0
0x00114d10,0x0023c590,upstream,1,0
0x00114e20,0x0023c590,upstream,1,0
0x00114eb0,,-,1000000000,0
0x00114f40,0x004ba240,upstream,1,0
0x00114fd0,,-,1000000000,0
0x00114fe0,,-,1000000000,0
0x001151b0,,-,1000000000,0
0x001151d0,,-,1000000000,0
0x00115350,,-,1000000000,0
0x001153a0,,-,1000000000,0
0x001153f0,,-,1000000000,0
0x00115430,,-,1000000000,0
0x00115460,,-,1000000000,0
0x00115740,,-,1000000000,0
0x00115760,0x004ba240,upstream,1,0
0x001157b0,,-,1000000000,0
0x001157c0,,-,1000000000,0
0x00115870,,-,1000000000,0
0x00115880,,-,1000000000,0
0x00115890,,-,1000000000,0
0x001158a0,,-,1000000000,0
0x001158c0,0x004ba240,upstream,1,0
0x00115920,0x00428998,upstream,2,0
0x001159f0,0x00428998,upstream,1,0
0x00115b80,0x00428998,upstream,4,0
0x00115c50,0x00428998,upstream,3,0
0x00115ca0,0x005c0d40,upstream,2,0
0x00115d80,0x00428998,upstream,2,0
0x00115dc0,,-,1000000000,0
0x00115e90,0x00511940,upstream,2,0
0x00115f00,,-,1000000000,0
0x00115f10,,-,1000000000,0
0x00115f80,,-,1000000000,0
0x00115fe0,0x00511940,upstream,1,0
0x00116060,0x00512ee0,upstream,1,0
0x001163a0,0x00511940,upstream,1,0
0x00116430,0x00511940,upstream,1,0
0x001165a0,0x00512ee0,upstream,1,0
0x00116850,,-,1000000000,0
0x00116860,,-,1000000000,0
0x001168b0,,-,1000000000,0
0x001168c0,,-,1000000000,1
0x001168e0,,-,1000000000,0
0x00116930,,-,1000000000,0
0x00116980,,-,1000000000,0
0x00116990,,-,1000000000,0
0x001169a0,,-,1000000000,0
0x001169f0,,-,1000000000,0
0x00116a20,,-,1000000000,0
0x00116a50,,-,1000000000,0
0x00116a80,0x00511940,upstream,2,0
0x00116b30,,-,1000000000,0
0x00116b60,,-,1000000000,0
0x00116b70,,-,1000000000,0
0x00116b80,,-,1000000000,0
0x00116be0,0x00511940,upstream,1,0
0x00117090,,-,1000000000,0
0x001170b0,,-,1000000000,0
0x001170d0,,-,1000000000,0
0x001170f0,0x005c0d40,upstream,1,0
0x00117400,0x005c0d40,upstream,1,0
0x00117720,0x00511940,upstream,1,0
0x001177a0,0x00511940,upstream,1,0
0x00117820,0x00511940,upstream,1,0
0x001178a0,0x00511940,upstream,1,0
0x00117920,0x00511940,upstream,1,0
0x00117a20,0x005c0d40,upstream,2,0
0x00117a60,0x005c0d40,upstream,2,0
0x00117aa0,0x00511940,upstream,1,0
0x00117b90,0x00511940,upstream,1,0
0x00117c80,0x004ba240,upstream,2,0
0x00117ce0,0x00512ee0,upstream,1,0
0x001180f0,0x00511940,upstream,1,0
0x00118170,0x00511940,upstream,1,0
0x001181f0,0x00511940,upstream,1,0
0x001182a0,,-,1000000000,0
0x001182d0,0x00513210,upstream,1,0
0x00118470,0x00511940,upstream,1,0
0x001184f0,,-,1000000000,0
0x00118540,0x0058a7a0,upstream,1,0
0x00118750,,-,1000000000,0
0x00118760,0x00511940,upstream,1,0
0x001187e0,,-,1000000000,0
0x00118800,0x00511940,upstream,1,0
