address,name,module,status,in_deg,out_deg,degree,component,betweenness
0x00388210,0x00388210,,stub_code,1,3,4,17127,0.0000
0x00534090,0x00534090,,stub_code,0,4,4,17127,0.0000
0x002a4400,0x002a4400,,,1,0,1,17127,0.0000
0x0033ca40,0x0033ca40,,stub_code,3,1,4,17127,0.6667
0x005475f0,0x005475f0,,stub_code,0,1,1,17127,0.0000
0x005032e0,0x005032e0,,stub_code,0,2,2,17127,0.0000
0x005c9e10,0x005c9e10,,stub_code,0,1,1,17127,0.0000
0x00519690,0x00519690,,stub_code,1,2,3,17127,0.0000
0x0022cef0,0x0022cef0,,stub_code,1,0,1,17127,0.0000
0x0020af00,0x0020af00,,stub_code,1,2,3,17127,0.0000
0x00252bb0,0x00252bb0,,stub_code,0,0,0,1,0.0000
0x005b4e10,0x005b4e10,,stub_code,1,9,10,17127,0.0000
0x0015db70,0x0015db70,,stub_code,1,7,8,17127,0.0000
0x0031f790,0x0031f790,,stub_code,0,1,1,17127,0.0000
0x00591390,0x00591390,,stub_code,0,4,4,17127,0.0000
0x004013b0,0x004013b0,,stub_code,0,3,3,17127,0.0000
0x00165d10,0x00165d10,,,1,0,1,17127,0.0000
0x0012fa00,0x0012fa00,,stub_code,0,1,1,17127,0.0000
0x00471238,0x00471238,,,1,0,1,17127,0.0000
0x003fb210,0x003fb210,,stub_code,63,3,66,17127,41.1321
0x004ba2c0,0x004ba2c0,,stub_code,0,2,2,17127,0.0000
0x00500110,0x00500110,,stub_code,1,4,5,17127,0.0000
0x00469f80,0x00469f80,,stub_code,1,1,2,17127,0.0000
0x004ca6c0,0x004ca6c0,,stub_code,0,3,3,17127,0.0000
0x002aef70,0x002aef70,,stub_code,1,1,2,17127,0.0000
0x001c6520,0x001c6520,,stub_code,0,0,0,1,0.0000
0x002489d0,0x002489d0,,stub_code,0,0,0,1,0.0000
0x00314f70,0x00314f70,,stub_code,0,5,5,17127,0.0000
0x005453d0,0x005453d0,,stub_code,0,1,1,17127,0.0000
0x0040e180,0x0040e180,,stub_code,24,3,27,17127,11.3333
0x00545670,0x00545670,,,3,0,3,17127,0.0000
0x00215e10,0x00215e10,,,3,0,3,17127,0.0000
0x0048b018,0x0048b018,,stub_code,2,1,3,17127,0.0000
0x0049c4f0,0x0049c4f0,,,1,0,1,17127,0.0000
0x004d3620,0x004d3620,,stub_code,0,9,9,17127,0.0000
0x0024bf90,0x0024bf90,,stub_code,0,1,1,20,0.0000
0x0030c0f0,0x0030c0f0,,stub_code,0,8,8,17127,0.0000
0x005b2280,0x005b2280,,,1,0,1,17127,0.0000
0x001a4b10,0x001a4b10,,stub_code,0,1,1,17127,0.0000
0x004f5c60,0x004f5c60,,stub_code,1,2,3,17127,0.0000
0x00544a20,0x00544a20,,stub_code,0,1,1,17127,0.0000
0x002e80f0,0x002e80f0,,stub_code,4,2,6,17127,0.0000
0x002739e0,0x002739e0,,stub_code,0,9,9,17127,0.0000
0x00118af0,0x00118af0,,stub_code,0,0,0,1,0.0000
0x002f72e0,0x002f72e0,,stub_code,1,0,1,3,0.0000
0x003b11f0,0x003b11f0,,stub_code,1,4,5,17127,0.0000
0x00595c70,0x00595c70,,stub_code,1,2,3,17127,0.0000
0x004d8900,0x004d8900,,stub_code,0,4,4,17127,0.0000
0x004846e8,0x004846e8,,,3,0,3,17127,0.0000
0x00510490,0x00510490,,stub_code,1,5,6,17127,0.0000
0x0043c9f0,0x0043c9f0,,,1,0,1,17127,0.0000
0x0028ed20,0x0028ed20,,stub_code,1,2,3,17127,0.0000
0x00252d30,0x00252d30,,stub_code,0,0,0,1,0.0000
0x0023dfd0,0x0023dfd0,,stub_code,1,1,2,17127,0.0000
0x004de040,0x004de040,,,3,0,3,17127,0.0000
0x002403c0,0x002403c0,,,5,0,5,17127,0.0000
0x0020aa80,0x0020aa80,,stub_code,1,1,2,17127,0.0000
0x002a40e0,0x002a40e0,,stub_code,3,1,4,17127,0.0000
0x001124f0,0x001124f0,,stub_code,54,2,56,17127,13.3333
0x0053c1d0,0x0053c1d0,,stub_code,0,0,0,1,0.0000
0x00107520,0x00107520,,stub_code,0,2,2,17127,0.0000
0x0033fc30,0x0033fc30,,stub_code,1,3,4,17127,0.0000
0x0023ed40,0x0023ed40,,,1,0,1,17127,0.0000
0x00319fc0,0x00319fc0,,,1,0,1,17127,0.0000
0x005481f0,0x005481f0,,stub_code,0,1,1,17127,0.0000
0x0036d660,0x0036d660,,,1,0,1,17127,0.0000
0x001ecc00,0x001ecc00,,stub_code,0,0,0,1,0.0000
0x004df9c0,0x004df9c0,,stub_code,0,4,4,17127,0.0000
0x00510ea0,0x00510ea0,,stub_code,23,4,27,17127,26.0000
0x0035f7f0,0x0035f7f0,,stub_code,1,2,3,17127,0.0000
0x003fe538,0x003fe538,,stub_code,1,3,4,17127,0.0000
