address,name,status,symboled,module,score,leaf_hint,body_bytes,cop2,loops,globals,return_kind,confidence,args,labels,callers,callees,calls_real,stub_frontier,conflicts,hub,hub_dir
0x00120720,FUN_00120720,real_logic,False,-,19.26,other,363,4,0,0,void,0.55,a0=ptr;a1=-;a2=-;a3=-,a0=Unknown_a0_0|a1=ptr|a2=Unknown_a2_0_4_8|a3=int,0,0,0,,7,,-
0x004299a0,FUN_004299a0,real_logic,False,-,18.16,other,308,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
0x004312a0,FUN_004312a0,real_logic,False,-,17.88,struct_op,344,0,0,0,ret,0.50,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,2,2,2,,0,,-
0x00429c60,FUN_00429c60,real_logic,False,-,16.28,other,214,1,0,0,int,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=int,0,0,0,,0,,-
0x0034bb20,FUN_0034bb20,real_logic,False,-,15.92,other,346,3,0,0,ptr,0.55,a0=ptr;a1=-;a2=-;a3=-,a0=Unknown_a0_0|a1=ptr|a2=ptr|a3=int|ret=ptr,0,0,0,,4,,-
0x0036d630,FUN_0036d630,real_logic,False,-,15.92,other,346,3,0,0,ptr,0.55,a0=ptr;a1=-;a2=-;a3=-,a0=Unknown_a0_0|a1=ptr|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x001206f0,FUN_001206f0,real_logic,False,-,15.7,other,335,3,0,0,void,0.55,a0=ptr;a1=-;a2=-;a3=-,a0=Unknown_a0_0|a1=int|a2=Unknown_a2_0|a3=Unknown_a3_20,0,0,0,,5,,-
0x0042a980,FUN_0042a980,real_logic,False,-,14.3,other,365,1,0,0,int,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=int,1,1,1,,1,,-
0x00157070,FUN_00157070,real_logic,False,-,14.24,memcmp,312,0,0,0,ptr,0.70,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_4_8_a4|a1=Unknown_a1_8_18_28|ret=ptr,0,0,0,,0,,
0x001574a0,FUN_001574a0,real_logic,False,-,14.24,memcmp,312,0,0,0,ptr,0.70,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_4_8_ac|a1=Unknown_a1_8_18_28|ret=ptr,0,0,0,,0,,
0x0042c620,FUN_0042c620,real_logic,False,-,13.88,thunk,244,0,0,2,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
0x0042cac8,FUN_0042cac8,real_logic,False,-,13.78,other,339,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,3,,-
0x0042d708,FUN_0042d708,real_logic,False,-,13.2,other,260,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,2,2,1,0x00429cf0,0,0x00429068,upstream
0x00431390,FUN_00431390,real_logic,False,-,12.88,struct_op,344,0,0,0,ret,0.50,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,0x00429068,upstream
