address,name,symbol,module,status,args,return_kind,accesses,calls,jalr,consts,ptr_derefs,float,cop2,simd,confidence
0x002ffb00,0x002ffb00,0x002ffb00,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ptr,a0+0x0:4;a0+0x10:4p;a0+0x20:4p;a0+0x48:4,0x0020aba0;0x0022c980;0x0023c840;0x002e7160;0x0042d770;0x00511940;0x00513210;0x00545430;0x0055a8a0;0x00585c00;0x00585cb0;0x0058d880,9,sz 0x10;sz 0xc;mask 0x1;lui 0x437f0000;sz 0x18;sz 0x8,2,1,0,1,0.80
0x00300600,0x00300600,0x00300600,,stub_code,a0=int;a1=ptr;a2=int;a3=int,ptr,a1+0x0:4p;a1+0x4:4;a1+0x8:4;a1+0x10:4p;a1+0x14:4;a1+0x48:4p,0x00107370;0x004f2210;0x00511940;0x0058a7a0;0x005d72f0;0x005d8770,1,sz 0xc;lui 0x4c0000;sz 0xd40;sz 0x4,6,0,0,0,0.70
0x003008e0,0x003008e0,0x003008e0,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ptr,a0+0x30:4,0x00513060,0,sz 0x20,0,1,0,0,0.65
0x00300af0,0x00300af0,0x00300af0,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00513060,0,sz 0x20;sz 0x4,0,1,0,0,0.60
0x00301080,0x00301080,0x00301080,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x002febf0;0x002ff5f0;0x00511940;0x00512f80;0x00513060;0x00513210;0x00513f30,0,lui 0xff0000;lui 0x3f000000;lui 0x3f800000;mask 0xffffffff;sz 0x34,0,0,0,0,0.45
0x00301390,0x00301390,0x00301390,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x54:1,0x002ffb00;0x00300600,0,lui 0x700000,0,0,0,0,0.50
0x003014e0,0x003014e0,0x003014e0,,stub_code,a0=ptr;a1=int;a2=int;a3=-,ret,a0+0x0:4p;a0+0x94:4,,1,,1,0,0,0,0.60
0x00301520,0x00301520,0x00301520,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00508930;0x00511940;0x00584920;0x005a1cb0;0x005dbae0,0,lui 0x700000;lui 0x300000;sz 0x14e0,0,0,0,0,0.45
0x003015b0,0x003015b0,0x003015b0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00511940,0,lui 0x700000,0,0,0,0,0.45
0x00301600,0x00301600,0x00301600,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x005c0580;0x005c0bb0,0,,0,0,0,0,0.45
0x00301660,0x00301660,0x00301660,,stub_code,a0=int;a1=ptr;a2=int;a3=int,ptr,a1+0x0:4p;a1+0x8:4;a1+0x10:4p;a1+0x20:4p;a1+0x9c:4,0x005db8e0;0x005dbbd0,1,sz 0x4,5,0,0,0,0.70
0x00301780,0x00301780,0x00301780,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00511940;0x005a1cb0;0x005dbae0,0,lui 0x700000;lui 0x300000;sz 0x1660,0,0,0,0,0.45
0x00301820,0x00301820,0x00301820,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00301900;0x00301b60,0,,0,0,0,0,0.45
0x00301850,0x00301850,0x00301850,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00301900;0x0050f930,0,lui 0x700000,0,0,0,0,0.45
0x00301890,0x00301890,0x00301890,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x005110e0;0x00511860;0x005118a0,0,sz 0x14;lui 0x6d0000;lui 0x720000,0,0,0,0,0.45
0x00301a00,0x00301a00,0x00301a00,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000;sz 0x1910,0,0,0,0,0.55
0x00301a60,0x00301a60,0x00301a60,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00301b60;0x0050f930,0,lui 0x700000,0,0,0,0,0.45
0x00301aa0,0x00301aa0,0x00301aa0,,stub_code,a0=int;a1=int;a2=int;a3=int,int,,0x0026f5c0;0x005110e0;0x00511860;0x005118a0,0,lui 0x6d0000;sz 0x44;lui 0x720000;lui 0x6f0000;sz 0x1380,0,0,0,0,0.55
0x00301c70,0x00301c70,0x00301c70,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000;sz 0x1b70,0,0,0,0,0.55
0x00301cc0,0x00301cc0,0x00301cc0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004d9c40;0x004ddda0;0x004ef390;0x004fe2b0;0x00503ab0;0x0050fde0;0x0050fe20;0x0050fea0;0x00510320,0,lui 0x700000;lui 0x640000;lui 0x720000;sz 0x8;sz 0x4,0,0,0,0,0.45
0x00301e90,0x00301e90,0x00301e90,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ptr,a0+0xc:4,0x00511940;0x00513210;0x00580d70,0,,0,1,0,0,0.65
0x00301fa0,0x00301fa0,0x00301fa0,,stub_code,a0=int;a1=ptr;a2=int;a3=int,ptr,a1+0x0:4,0x002fe490;0x004bc880;0x004bdd80;0x004c1840;0x004c46b0;0x004c4940;0x004c6180;0x004c6b40;0x00511940;0x00513210;0x00513f30;0x005a48b0,13,sz 0x4;sz 0x40,0,0,0,0,0.60
0x00302450,0x00302450,0x00302450,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ptr,a0+0x40:1,0x003f7c10;0x003f94c8;0x0058d880,1,sz 0xc;lui 0x720000;sz 0x20;lui 0x640000;lui 0xf0000;lui 0x3a830000,0,1,0,0,0.65
0x00302600,0x00302600,0x00302600,,stub_code,a0=int;a1=int;a2=int;a3=int,int,,0x00300af0;0x00301080;0x00301e90;0x00301fa0;0x00511940;0x00512f80,1,lui 0x3f800000,0,1,0,0,0.60
0x003027a0,0x003027a0,0x003027a0,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x1c:4,0x00301850;0x00301e90;0x004f2210;0x00513210;0x005cfc50,2,lui 0x700000;sz 0x40;sz 0x4,0,0,0,0,0.50
0x003028c0,0x003028c0,0x003028c0,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x30:4;a0+0x38:4,0x004f28b0;0x00511940;0x00513160;0x005cfc40,0,lui 0x700000;sz 0x4,0,0,0,0,0.50
0x003029b0,0x003029b0,0x003029b0,,stub_code,a0=ptr;a1=int;a2=-;a3=-,ret,a0+0x0:4p;a0+0x88:4,,1,,1,0,0,0,0.60
0x003029e0,0x003029e0,0x003029e0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00511940;0x005a1cb0;0x005dbae0,0,lui 0x700000;lui 0x300000;sz 0x29b0,0,0,0,0,0.45
0x00302a60,0x00302a60,0x00302a60,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00511940,0,lui 0x700000,0,0,0,0,0.45
0x00302af0,0x00302af0,0x00302af0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00302ec0;0x00303640;0x00303970,0,,0,0,0,0,0.45
0x00302b20,0x00302b20,0x00302b20,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00302ec0;0x0050f930,0,lui 0x700000,0,0,0,0,0.45
0x00302b60,0x00302b60,0x00302b60,,stub_code,a0=int;a1=int;a2=int;a3=int,int,,0x00117720;0x001177a0;0x00117820;0x00117920;0x0015ef40;0x0026f760;0x00302cc0;0x00302d40;0x00302dc0;0x00302e40;0x005110e0;0x00511860,0,lui 0x6d0000;lui 0x6f0000;sz 0x88;lui 0x720000;sz 0x80;sz 0x7c,0,0,0,0,0.55
0x00302cc0,0x00302cc0,0x00302cc0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240;0x00511940,0,,0,0,0,0,0.45
0x00302d40,0x00302d40,0x00302d40,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240;0x00511940,0,,0,0,0,0,0.45
