address,name,status,arg,label_a,label_b,prov_a,prov_b,via,kind
0x0039f1d0,0x0039f1d0,,a2,int,Unknown_a0_c_10_200,HEURISTIC,CALL_PROPAGATED,0x003a4880->0x0039f1d0,hard
0x0039dbf0,0x0039dbf0,,a2,Unknown_a0_c_10,Unknown_a0_c_10_200,CALL_PROPAGATED,CALL_PROPAGATED,0x003a4880->0x0039dbf0,hard
0x003a57a0,0x003a57a0,stub_code,a0,int,Unknown_a0_c_10_200,DIRECT,CALL_PROPAGATED,0x003a50a0->0x003a57a0,hard
0x003a5350,0x003a5350,stub_code,a0,int,Unknown_a0_c_10_200,DIRECT,CALL_PROPAGATED,0x003a50a0->0x003a5350,hard
0x0039dc10,0x0039dc10,,a0,Unknown_a0_c_10,Unknown_a0_c_10_200,CALL_PROPAGATED,CALL_PROPAGATED,0x003a50a0->0x0039dc10,hard
0x00364600,0x00364600,,a2,Unknown_a0_c_10_200,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003a5350->0x00364600,hard
0x0039e310,0x0039e310,,a2,Unknown_a0_c_10_200,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003a5350->0x0039e310,hard
0x0039ebb0,0x0039ebb0,,a2,Unknown_a0_c_10_200,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003a5350->0x0039ebb0,hard
0x0039dbf0,0x0039dbf0,,a2,Unknown_a0_c_10_200,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003a5350->0x0039dbf0,hard
0x00364600,0x00364600,,a0,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a57a0->0x00364600,ptr_int
0x0039e310,0x0039e310,,a0,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a57a0->0x0039e310,ptr_int
0x0039ebb0,0x0039ebb0,,a0,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a57a0->0x0039ebb0,ptr_int
0x003a89d0,0x003a89d0,stub_code,a2,ptr,int,STRUCT_FIELD,CALL_PROPAGATED,0x003a57a0->0x003a89d0,ptr_int
0x003a5080,0x003a5080,,a3,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a5ba0->0x003a5080,ptr_int
0x0039e350,0x0039e350,stub_code,a0,Unknown_a0_0,int,DIRECT,CALL_PROPAGATED,0x003a6f20->0x0039e350,hard
0x003a7ed0,0x003a7ed0,,a1,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a6f20->0x003a7ed0,ptr_int
0x0043b068,0x0043b068,,a0,Unknown_a0_0_4_8_c,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003a7f40->0x0043b068,hard
0x0043b068,0x0043b068,,a1,int,Unknown_a1_0,CALL_PROPAGATED,CALL_PROPAGATED,0x003a7f40->0x0043b068,hard
0x0039f1d0,0x0039f1d0,,a1,int,Unknown_a1_0,CALL_PROPAGATED,CALL_PROPAGATED,0x003a7f40->0x0039f1d0,hard
0x003a87b0,0x003a87b0,stub_code,a1,int,ptr,DIRECT,CALL_PROPAGATED,0x003a82f0->0x003a87b0,ptr_int
0x0033be20,0x0033be20,stub_code,a1,int,Unknown_a0_14,DIRECT,CALL_PROPAGATED,0x003a8430->0x0033be20,hard
0x0033be20,0x0033be20,stub_code,a2,int,Unknown_a0_14,DIRECT,CALL_PROPAGATED,0x003a8430->0x0033be20,hard
0x0033eaf0,0x0033eaf0,,a0,int,Unknown_a0_0,CALL_PROPAGATED,CALL_PROPAGATED,0x003a8720->0x0033eaf0,hard
0x003a92c0,0x003a92c0,stub_code,a2,int,ptr,DIRECT,RETURN_PROPAGATED,0x003a8d80->0x003a92c0,ptr_int
0x003af4f0,0x003af4f0,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x003a92c0->0x003af4f0,ptr_int
0x003a99a0,0x003a99a0,stub_code,a0,Unknown_a0_0,Unknown_a0_0_4_c,DIRECT,CALL_PROPAGATED,0x003a9210->0x003a99a0,hard
0x003a99a0,0x003a99a0,stub_code,a1,int,Unknown_a1_0,DIRECT,CALL_PROPAGATED,0x003a9210->0x003a99a0,hard
0x003a9960,0x003a9960,,a0,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a96f0->0x003a9960,ptr_int
0x003a9960,0x003a9960,,a1,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a96f0->0x003a9960,ptr_int
0x003a9960,0x003a9960,,a2,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003a96f0->0x003a9960,ptr_int
0x003a9960,0x003a9960,,a3,Unknown_a3_0_4_8_c,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003a96f0->0x003a9960,hard
0x003aae30,0x003aae30,stub_code,a0,Unknown_a0_4,Unknown_a1_4_8,DIRECT,CALL_PROPAGATED,0x003aa0c0->0x003aae30,hard
0x003aae30,0x003aae30,stub_code,a1,int,Unknown_a1_4_8,DIRECT,CALL_PROPAGATED,0x003aa0c0->0x003aae30,hard
0x003a9c10,0x003a9c10,stub_code,a0,int,Unknown_a1_4_8,DIRECT,CALL_PROPAGATED,0x003aa0c0->0x003a9c10,hard
0x003ac0c0,0x003ac0c0,stub_code,a0,int,Unknown_a1_4_8,DIRECT,CALL_PROPAGATED,0x003aa0c0->0x003ac0c0,hard
