address,name,module,status,arg,label,provenance,confidence,hops,vias
0x00100bc0,0x00100bc0,,stub_code,a1,int,DIRECT,0.50,1,-;0x00105940->0x00100bc0;0x0040f860->0x00100bc0;0x0040fc00->0x00100bc0;0x0040ffb0->0x00100bc0;0x00410370->0x00100bc0;0x00411170->0x00100bc0;0x00411560->0x00100bc0;0x00411980->0x00100bc0;0x00411d60->0x00100bc0;0x00412160->0x00100bc0;0x00424d70->0x00100bc0
0x00100bc0,0x00100bc0,,stub_code,a2,int,DIRECT,0.50,1,-;0x00410740->0x00100bc0;0x00411170->0x00100bc0;0x00411560->0x00100bc0;0x00412160->0x00100bc0;0x0041cda0->0x00100bc0;0x00424d70->0x00100bc0
0x00100bc0,0x00100bc0,,stub_code,a3,int,DIRECT,0.50,2,-;0x00105940->0x00100bc0;0x0040f860->0x00100bc0;0x0040fc00->0x00100bc0;0x0040ffb0->0x00100bc0;0x00410370->0x00100bc0;0x00410740->0x00100bc0;0x00411980->0x00100bc0;0x00411d60->0x00100bc0;0x0041cda0->0x00100bc0;0x00424d70->0x00100bc0
0x00100bc0,0x00100bc0,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00100f00,0x00100f00,,stub_code,a0,int,DIRECT,0.50,2,-;0x00100bc0->0x00100f00
0x00100f00,0x00100f00,,stub_code,a1,int,DIRECT,0.50,2,-;0x00100bc0->0x00100f00
0x00100f00,0x00100f00,,stub_code,a2,int,DIRECT,0.50,2,-;0x00100bc0->0x00100f00
0x00100f00,0x00100f00,,stub_code,a3,int,DIRECT,0.50,3,-;0x00100bc0->0x00100f00
0x00100f00,0x00100f00,,stub_code,ret,int,DIRECT,0.70,0,-
0x00101840,0x00101840,,stub_code,a0,int,DIRECT,0.50,1,-;0x00417000->0x00101840;0x00417470->0x00101840
0x00101840,0x00101840,,stub_code,a1,int,DIRECT,0.50,0,-
0x00101840,0x00101840,,stub_code,a2,int,DIRECT,0.50,5,-;0x004098b0->0x00101840;0x00409b00->0x00101840;0x00417470->0x00101840;0x0041a300->0x00101840;0x00423a40->0x00101840
0x00101840,0x00101840,,stub_code,a3,int,DIRECT,0.50,7,-;0x00105010->0x00101840;0x004098b0->0x00101840;0x00409b00->0x00101840;0x00416b60->0x00101840;0x00416c80->0x00101840;0x00417470->0x00101840;0x0041a300->0x00101840;0x0041cda0->0x00101840;0x00423a40->0x00101840
0x00101840,0x00101840,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00101c20,0x00101c20,,stub_code,a0,int,DIRECT,0.50,1,-;0x0040ef10->0x00101c20
0x00101c20,0x00101c20,,stub_code,a1,int,DIRECT,0.50,0,-
0x00101c20,0x00101c20,,stub_code,a2,int,DIRECT,0.50,6,-;0x00101840->0x00101c20;0x0040ef10->0x00101c20
0x00101c20,0x00101c20,,stub_code,a3,int,DIRECT,0.50,8,-;0x00101840->0x00101c20;0x0040e430->0x00101c20;0x0040ef10->0x00101c20
0x00101c20,0x00101c20,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00101e70,0x00101e70,,,a0,int,CALL_PROPAGATED,0.42,2,0x00101c20->0x00101e70
0x00101e70,0x00101e70,,,a1,int,HEURISTIC,0.40,0,0x00101c20->0x00101e70
0x00101e70,0x00101e70,,,a2,int,CALL_PROPAGATED,0.42,7,0x00101c20->0x00101e70;0x0040f2c0->0x00101e70
0x00101e70,0x00101e70,,,a3,int,CALL_PROPAGATED,0.42,9,0x00101c20->0x00101e70;0x0040f2c0->0x00101e70
0x00101ec0,0x00101ec0,,stub_code,a0,int,CALL_PROPAGATED,0.42,1,0x0040ef10->0x00101ec0
0x00101ec0,0x00101ec0,,stub_code,a1,int,HEURISTIC,0.40,0,0x00101840->0x00101ec0
0x00101ec0,0x00101ec0,,stub_code,a2,int,CALL_PROPAGATED,0.42,6,0x00101840->0x00101ec0;0x0040ef10->0x00101ec0
0x00101ec0,0x00101ec0,,stub_code,a3,int,CALL_PROPAGATED,0.42,8,0x00101840->0x00101ec0;0x0040e430->0x00101ec0;0x0040ef10->0x00101ec0
0x00101ec0,0x00101ec0,,stub_code,ret,int,DIRECT,0.70,0,-
0x00101f40,0x00101f40,,stub_code,a0,int,DIRECT,0.50,1,-;0x00105940->0x00101f40;0x0040f860->0x00101f40;0x0040fc00->0x00101f40;0x0040ffb0->0x00101f40;0x00410370->0x00101f40;0x00410740->0x00101f40;0x00411170->0x00101f40;0x00411560->0x00101f40;0x00411980->0x00101f40;0x00411d60->0x00101f40;0x00412160->0x00101f40
0x00101f40,0x00101f40,,stub_code,a1,int,DIRECT,0.50,1,-;0x00105940->0x00101f40;0x0040f860->0x00101f40;0x0040fc00->0x00101f40;0x0040ffb0->0x00101f40;0x00410370->0x00101f40;0x00411170->0x00101f40;0x00411560->0x00101f40;0x00411980->0x00101f40;0x00411d60->0x00101f40;0x00412160->0x00101f40;0x00424d70->0x00101f40
